s,6538
e,6364
a,6249
o,4564
r,4435
i,4159
l,3479
t,3398
n,3265
u,2830
d,2557
y,2347
m,2268
p,2264
c,2129
h,1931
g,1748
b,1721
k,1679
w,1115
f,1105
v,773
z,453
j,340
x,325
q,143
