Rank,Movie Title,Cast,Release Year,IMDb Rating,Total Votes
57,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1940,8.4,"194,032"
58,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",2006,8.4,"344,637"
59,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",2012,8.4,"1,298,305"
60,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",1957,8.4,"169,285"
61,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",1980,8.4,"854,093"
62,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",2018,8.4,"776,447"
63,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",2008,8.4,"962,856"
64,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",1950,8.4,"192,320"
65,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",2018,8.4,"318,988"
66,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",1997,8.4,"322,907"
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",1964,8.4,"435,807"
68,Oldeuboi,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",2003,8.4,"493,208"
69,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",1957,8.4,"101,884"
70,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",2019,8.3,"721,464"
71,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",2012,8.3,"1,463,255"
72,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",1984,8.3,"297,376"
73,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",1986,8.3,"631,930"
74,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",2016,8.3,"169,135"
75,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",2017,8.3,"339,624"
76,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",1999,8.3,"1,038,461"
77,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",1995,8.3,"932,836"
78,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",1981,8.3,"223,068"
79,Anand,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",1971,8.3,"26,074"
80,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",2009,8.3,"325,335"
81,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",1995,8.3,"853,515"
82,Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",1963,8.3,"29,126"
83,Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",2007,8.3,"157,470"
84,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",1984,8.3,"356,574"
85,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",1983,8.3,"917,906"
86,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",1992,8.3,"884,886"
87,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",2019,8.3,"316,445"
88,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",2009,8.3,"1,211,206"
89,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",1997,8.3,"824,651"
90,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",1968,8.3,"578,876"
91,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",1958,8.3,"345,085"
92,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",2000,8.3,"739,447"
93,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",1931,8.3,"136,892"
94,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",2016,8.3,"142,687"
95,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",2018,8.3,"47,640"
96,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",2004,8.3,"877,091"
97,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",1941,8.3,"383,750"
98,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",2012,8.3,"264,143"
99,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",1987,8.3,"648,879"
100,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",1948,8.2,"138,500"
101,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",1959,8.2,"287,441"
102,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",1971,8.2,"731,065"
103,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",1921,8.2,"106,637"
104,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",2000,8.2,"758,165"
105,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",1952,8.2,"209,861"
106,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",1983,8.2,"710,358"
107,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",1976,8.2,"691,597"
108,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",2001,8.2,"683,695"
109,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",1962,8.2,"257,519"
110,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",2010,8.2,"731,248"
111,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",1973,8.2,"233,154"
112,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",1952,8.2,"63,715"
113,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",1927,8.2,"153,813"
114,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",2011,8.2,"211,054"
115,Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",1965,8.2,"221,904"
116,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",1944,8.2,"137,209"
117,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",1960,8.2,"155,855"
118,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",2010,8.2,"138,434"
119,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",1962,8.2,"285,680"
120,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",1989,8.2,"668,777"
121,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",2009,8.2,"900,110"
122,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",1997,8.2,"515,948"
123,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",1995,8.2,"554,478"
124,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",1975,8.2,"486,109"
125,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",1988,8.2,"759,878"
126,Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",1950,8.2,"145,363"
127,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",1985,8.2,"50,911"
128,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",1961,8.2,"105,292"
129,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",2005,8.2,"1,262,666"
130,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",2018,8.2,"323,929"
131,Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",1997,8.2,"60,598"
132,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",2004,8.2,"321,073"
133,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",1992,8.2,"361,650"
134,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",1959,8.2,"234,666"
135,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",1985,8.2,"106,603"
136,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",2004,8.2,"309,797"
137,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",1963,8.2,"216,623"
138,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",1950,8.2,"115,896"
139,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",2001,8.2,"817,386"
140,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",1995,8.2,"444,373"
141,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",2006,8.2,"600,330"
142,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",2009,8.2,"184,679"
143,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",1988,8.2,"270,030"
144,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",2013,8.2,"1,118,068"
145,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",1998,8.2,"518,471"
146,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",1980,8.2,"309,236"
147,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",1948,8.1,"109,686"
148,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",1961,8.1,"66,154"
149,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",2007,8.1,"494,813"
150,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",2005,8.1,"74,783"
151,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",2017,8.1,"399,733"
152,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",1925,8.1,"95,527"
153,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",1954,8.1,"150,485"
154,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",1974,8.1,"282,303"
155,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",1957,8.1,"155,935"
156,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",2005,8.1,"997,130"
157,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",2007,8.1,"817,012"
158,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",2015,8.1,"582,700"
159,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",2010,8.1,"1,079,025"
160,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",2011,8.1,"422,824"
161,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",1980,8.1,"211,402"
162,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",1996,8.1,"617,379"
163,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",1999,8.1,"884,885"
164,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",1982,8.1,"354,398"
165,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",1993,8.1,"831,182"
166,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",1939,8.1,"278,645"
167,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",2015,8.1,"349,095"
168,Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",1957,8.1,"90,897"
169,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",1982,8.1,"668,899"
170,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",2003,8.1,"917,818"
171,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",1957,8.1,"196,107"
172,Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",1979,8.1,"108,944"
173,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",1998,8.1,"894,404"
174,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",1954,8.1,"136,336"
175,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",2003,8.1,"965,036"
176,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",1949,8.1,"153,226"
177,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",1996,8.1,"593,357"
178,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",2008,8.1,"700,034"
179,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",1953,8.1,"48,841"
180,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",1978,8.1,"300,401"
181,Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",2003,8.1,"123,022"
182,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",2014,8.1,"166,376"
183,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",2019,8.1,"69,239"
184,Andhadhun,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",2018,8.1,"61,334"
185,Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",1996,8.1,"60,653"
186,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",2009,8.1,"159,043"
187,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",1998,8.1,"701,845"
188,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",1993,8.1,"150,188"
189,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",2014,8.1,"819,485"
190,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",2016,8.1,"408,772"
191,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",2014,8.1,"677,405"
192,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",1966,8.1,"96,221"
193,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",1995,8.1,"256,988"
194,Ford v. Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",2019,8.1,"218,021"
195,To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",1942,8.1,"25,745"
196,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",2002,8.1,"784,438"
197,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",1926,8.1,"77,267"
198,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",2010,8.1,"644,066"
199,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",1939,8.1,"103,068"
200,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",1924,8.1,"38,271"
201,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",2013,8.1,"570,404"
202,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",2013,8.1,"615,456"
203,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",2015,8.1,"841,456"
204,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",1967,8.1,"156,290"
